date,date_certainty,event,source,citation,category,source_is_brief_only
1983-03-16,"exact (instrument, visually confirmed) — internal discrepancy noted","Partnership Agreement executed: partners' execution page handwritten '16' March 1983; spouses' consent page handwritten '10' March 1983 (both dates internal to the same instrument); daughter-and-spouse consent page UNSIGNED in the scan. Terms: Manuel C. 75% / Manuel S. (Steve) 25% ownership AND profit/loss; initial capital $636,105/$212,035 (exactly 25%); commencement recited as 1/1/1982; Art. XIX already contains the 90%-of-FMV rule for the both-parents-deceased buyout and a 2-of-3 binding appraiser mechanism; Art. XIX(1) references the $212,035 Note (note itself NOT attached). Settlement Recital A/C separately recites the $212,035 note at 9%. THE EXECUTED INSTRUMENT IS 75/25 — NOT 50/50.",Executed 1983 Partnership Agreement (OCR + visual date confirmation) + Settlement Agreement Recitals,"Partnership_Agreement.pdf 1s8TjF_blUghM1e-UdAHTUf6PuaDjCf8- (27 pp., all OCRd); extracts in 01-verified-facts/drive-sweep/valuations-instruments-sweep.md sec.10; Settlement Recitals A and C",financial,FALSE
1992-12-31,exact,"Partners' capital 12/31/1992: total $282,888 (Manuel $156,897 / Steve $125,991)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf (1O7OGL798JcaTXginVNMIUgKtNV-ckK0l), FY1993/1992 stmt",financial,FALSE
1993-12-31,exact,"Partners' capital 12/31/1993: total $373,027 (Manuel $180,568 / Steve $192,459); withdrawals Manuel $82,430 / Steve $39,633",Reviewed financial statement,"Equity Accounts 1997-2015.pdf (1O7OGL798JcaTXginVNMIUgKtNV-ckK0l), FY1993/1992 stmt (Adair Evans Erwin Taylor & Gross)",financial,FALSE
1994-01-01,range,FY1994-FY1996 partnership capital statements NOT LOCATED IN AVAILABLE RECORDS. No finding of withholding or concealment.,Absence of document,Searched by title and full text across Litigation folder; no responsive document,gap,FALSE
1997-12-31,exact,"FY1997 withdrawals: Manuel/Hazel $16,231 / Steve $1,483",Draft reconciliation,Capital Analysis 8-3-2017 (1L357_kNU9uk4pZFm2K0LuajeckXW2GOg) p.1 [DRAFT],financial,FALSE
1998-12-31,exact,"FY1998 withdrawals: Manuel $19,909 / Steve $2,019",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY1998 stmt",financial,FALSE
1999-12-31,exact,"FY1999 withdrawals: Manuel $63,254 / Steve $2,090",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY1999 stmt",financial,FALSE
2000-00-00,NOT ESTABLISHED,"Kaweah Drive purchase / recording — NO DOCUMENT IN RECORD. Day-count gap to the $45,064 figure cannot be computed and is not reported.",No source,No responsive document located,gap,FALSE
2000-12-31,fiscal-year-aggregate,"FY2000 withdrawals: Manuel $51,208 / Steve $4,318. Manuel 'Personal' category = $45,064. THIS IS AN ANNUAL CATEGORY TOTAL, NOT A DATED DRAW.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2000 stmt, Exhibit C",financial,FALSE
2001-12-31,exact,"FY2001 withdrawals: Manuel $44,821 / Steve $6,548",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2001 stmt",financial,FALSE
2002-00-00,NOT ESTABLISHED,Kaweah refinance (2002) — NO DOCUMENT IN RECORD,No source,No responsive document located,gap,FALSE
2002-12-31,exact,"FY2002 withdrawals: Manuel $42,620 / Steve $11,588",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2002 stmt",financial,FALSE
2003-00-00,NOT ESTABLISHED,Kaweah refinance (2003) — NO DOCUMENT IN RECORD,No source,No responsive document located,gap,FALSE
2003-12-31,exact,"FY2003 withdrawals: Manuel $34,882 / Steve $25,800",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2003 stmt",financial,FALSE
2004-00-00,NOT ESTABLISHED,Kaweah HELOC (2004) — NO DOCUMENT IN RECORD,No source,No responsive document located,gap,FALSE
2004-12-31,exact,"FY2004 withdrawals: Manuel $40,168 / Steve $26,088; capital contribution $10,573",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2004 stmt",financial,FALSE
2005-02-14,exact,"Manuel C. Leal Living Trust and Manuel C. Leal Bypass Trust established (uta dtd 2.14.05, as amended)",Trust instrument title,The Manuel C. Leal Living Trust and Bypass Trust uta dtd 2.14.05 as amended (1VJRX5Agth22AlVDzfyUXEshTUdnVtSFT) — INSTRUMENT NOT YET REVIEWED,estate,FALSE
2005-12-31,exact,"FY2005 withdrawals: Manuel $252,355 / Steve $13,146 (Manuel 'Personal' $243,256)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2005 stmt",financial,FALSE
